"CJID","0503233025966D514RH20GTA511"
"PJID","0503233025970D514RH20_1"
"Module Name","PM6"
"Wafer No","[1-06]"
"Recipe Class","Process/P6"
"Recipe Name","P-P6-VEGALITE45-R6"
"User","SERVICE"
"Lot Start Time","2025/05/03","23:30:33"
"Lot End Time","2025/05/04","00:55:49"

"LogType","Trace"
"Sampling Interval[sec]","0.10"

"Trace Start Time","2025/05/03","23:50:45"
"Trace End Time","2025/05/03","23:53:02"

"Interval","Step","ChamberPressure","ChamberPressure@","UpperRF","UpperRF@","LowerRF","LowerRF@","UpperRFReflect","LowerRFReflect","UpperVpp","LowerVpp","H2    (1)Flow","H2    (1)Flow@","none  (2)Flow","none  (2)Flow@","none  (3)Flow","none  (3)Flow@","C4F8  (4)Flow","C4F8  (4)Flow@","NF3 Lo(5)Flow","NF3 Lo(5)Flow@","CH2F2 (6)Flow","CH2F2 (6)Flow@","O2 Lo (7)Flow","O2 Lo (7)Flow@","CO2   (8)Flow","CO2   (8)Flow@","CF4   (9)Flow","CF4   (9)Flow@","none  (10)Flow","none  (10)Flow@","CHF3  (11)Flow","CHF3  (11)Flow@","N2    (12)Flow","N2    (12)Flow@","COS   (13)Flow","COS   (13)Flow@","O2 Hi (14)Flow","O2 Hi (14)Flow@","He    (15)Flow","He    (15)Flow@","Ar Hi (16)Flow","Ar Hi (16)Flow@","UpperTemp","UpperTemp@","WallTemp","WallTemp@","LowerTemp","LowerTemp@","LowerHeaterCurrent","LowerBRTemp","LowerBRTemp@","LowerEdgeTemp","LowerEdgeTemp@","LowerEdgeCurrent","EdgeHePress","EdgeHePress@","EdgeHeFlow","ESCVoltage","ESCVoltage@","ESCCurrent","APCPosition","APCTemp","APCTemp@","C1Pos(Upper)","C1Pos(Upper)@","C2Pos(Upper)","C2Pos(Upper)@","C1Pos(Lower)","C1Pos(Lower)@","C2Pos(Lower)","C2Pos(Lower)@","Imp.R(Upper)","Imp.Jx(Upper)","Imp.R(Lower)","Imp.Jx(Lower)","UpperFlowRate","LowerFlowRate","CPIPos.","CPIPos.@","CenterFlowRatio","CenterFlowRatio@","CenterGasPress","EdgeGasPress","Pin Torque","Pin Speed"
"1.00","1","0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.771","7.000","0.000","0.000","16.602","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","97.936","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","12.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","48.9","50.0","1.72","1.70","0.00","0.00"
"1.10","1","0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.930","7.000","0.000","0.000","18.232","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.128","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","12.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.1","50.0","2.08","2.04","0.00","0.00"
"1.20","1","0.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.948","7.000","0.000","0.000","19.129","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","19.9","20.0","61","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","1.5","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.1","50.0","2.08","2.04","0.00","0.00"
"1.30","1","0.6","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.977","7.000","0.000","0.000","19.465","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.1","20.0","61","-10.0","-10.0","20.2","20.0","56","0.1","0.0","0.0","0","0","1","1.5","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.3","50.0","2.93","2.86","0.00","0.00"
"1.40","1","0.6","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.977","7.000","0.000","0.000","19.691","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.1","20.0","61","-10.0","-10.0","20.2","20.0","56","0.1","0.0","0.0","0","0","1","1.5","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.3","50.0","2.93","2.86","0.00","0.00"
"1.50","1","0.6","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.986","7.000","0.000","0.000","19.800","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.417","100.000","80.0","80.0","60.7","60.0","20.1","20.0","61","-10.0","-10.0","20.2","20.0","56","0.1","0.0","0.0","0","0","1","0.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.0","93","93","49.5","50.0","3.82","3.69","0.00","0.00"
"1.60","1","1.7","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.917","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.995","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.5","50.0","3.82","3.69","0.00","0.00"
"1.70","1","1.7","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.6","50.0","4.54","4.37","0.00","0.00"
"1.80","1","1.7","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.986","7.000","0.000","0.000","19.917","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.6","50.0","4.54","4.37","0.00","0.00"
"1.90","1","4.0","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.417","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.8","50.0","5.06","4.83","0.00","0.00"
"2.00","1","4.0","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.995","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.8","50.0","5.06","4.83","0.00","0.00"
"2.10","1","4.0","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.917","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.417","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.8","50.0","5.37","5.12","0.00","0.00"
"2.20","1","7.7","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.1","20.0","57","-10.0","-10.0","20.2","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.8","50.0","5.37","5.12","0.00","0.00"
"2.30","1","7.7","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.417","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.9","50.0","5.57","5.30","0.00","0.00"
"2.40","1","7.7","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.004","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.9","50.0","5.57","5.30","0.00","0.00"
"2.50","1","12.3","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.986","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","51","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.9","50.0","5.70","5.42","0.00","0.00"
"2.60","1","12.3","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.917","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.995","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","0.1","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","49.9","50.0","5.70","5.42","0.00","0.00"
"2.70","1","12.3","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.417","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","1.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.79","5.50","0.00","0.00"
"2.80","1","17.6","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.986","7.000","0.000","0.000","20.026","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","1.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.79","5.50","0.00","0.00"
"2.90","1","17.6","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.995","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","1.2","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.85","5.56","0.00","0.00"
"3.00","1","17.6","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.995","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","2.3","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.85","5.56","0.00","0.00"
"3.10","1","23.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","2.3","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.89","5.59","0.00","0.00"
"3.20","1","23.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.0","20.0","57","-10.0","-10.0","19.9","20.0","54","0.1","0.0","0.0","0","0","1","2.3","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.89","5.59","0.00","0.00"
"3.30","1","23.1","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.004","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.2","20.0","57","-10.0","-10.0","20.0","20.0","54","0.1","0.0","0.0","0","0","1","2.9","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.92","5.61","0.00","0.00"
"3.40","1","28.3","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.2","20.0","57","-10.0","-10.0","20.0","20.0","54","0.1","0.0","0.0","0","0","1","2.9","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.92","5.61","0.00","0.00"
"3.50","1","28.3","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.2","20.0","57","-10.0","-10.0","20.0","20.0","54","0.1","0.0","0.0","0","0","1","2.9","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.93","5.63","0.00","0.00"
"3.60","1","28.3","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","6.995","7.000","0.000","0.000","19.971","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.2","20.0","57","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","3.3","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.93","5.63","0.00","0.00"
"3.70","1","33.4","80.0","0","0","0","0","0","0","0","0","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","7.004","7.000","0.000","0.000","20.026","20.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","99.706","100.000","80.0","80.0","60.7","60.0","20.2","20.0","57","-10.0","-10.0","20.0","20.0","56","0.1","0.0","0.0","0","0","1","3.3","89.0","90.0","1400","0","2000","0","1000","0","1000","0","50.0","0.0","50.0","0.0","20.1","25.1","93","93","50.0","50.0","5.95","5.64","0.00","0.00"
